--------------------2019-09-15 0:04:44----------------
--------------------2019-09-15 0:09:44----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
205 : 1
3010 : 1
1006 : 1
3013 : 8
3011 : 2
--------------------2019-09-15 8:24:51----------------
3016 : 1
205 : 2
3010 : 25
4633 : 1
1006 : 2
3030 : 1
3017 : 8
3013 : 140
3011 : 50
1001 : 5
--------------------2019-09-15 8:29:51----------------
1011 : 22
205 : 1
3010 : 1
1010 : 27
4633 : 2
1006 : 4
3030 : 1
4629 : 1
1031 : 23
1014 : 4
1000 : 1
3017 : 3
3013 : 119
3011 : 4
1001 : 3
1032 : 5
--------------------2019-09-15 8:34:51----------------
1011 : 3
205 : 1
1010 : 5
4633 : 2
1006 : 2
3030 : 1
4629 : 2
1014 : 5
1000 : 2
3017 : 14
3013 : 112
3011 : 5
1001 : 386
--------------------2019-09-15 8:39:51----------------
1011 : 5
205 : 2
3010 : 2
1010 : 6
1006 : 3
3030 : 1
1000 : 2
3017 : 23
3013 : 82
3011 : 13
1001 : 9
--------------------2019-09-15 8:44:51----------------
205 : 2
3010 : 4
1006 : 14
1000 : 1
3017 : 67
3013 : 120
3011 : 16
1001 : 27
--------------------2019-09-15 8:49:51----------------
205 : 1
3010 : 6
1006 : 11
4464 : 1
3017 : 23
3013 : 97
3011 : 20
1001 : 9
--------------------2019-09-15 8:54:51----------------
205 : 2
3010 : 11
1006 : 7
1009 : 1
3017 : 21
3013 : 83
3011 : 29
1001 : 10
--------------------2019-09-15 8:59:51----------------
--------------------2019-09-15 9:04:51----------------
--------------------2019-09-15 9:09:51----------------
--------------------2019-09-15 9:14:51----------------
--------------------2019-09-15 9:19:51----------------
--------------------2019-09-15 9:24:51----------------
--------------------2019-09-15 9:29:51----------------
--------------------2019-09-15 9:34:52----------------
--------------------2019-09-15 9:39:52----------------
--------------------2019-09-15 9:44:52----------------
--------------------2019-09-15 9:49:52----------------
--------------------2019-09-15 9:54:52----------------
--------------------2019-09-15 9:59:52----------------
--------------------2019-09-15 10:04:52----------------
--------------------2019-09-15 10:09:52----------------
--------------------2019-09-15 10:14:52----------------
--------------------2019-09-15 10:19:52----------------
--------------------2019-09-15 10:24:52----------------
--------------------2019-09-15 10:29:52----------------
--------------------2019-09-15 10:34:52----------------
--------------------2019-09-15 10:39:52----------------
--------------------2019-09-15 10:44:52----------------
--------------------2019-09-15 10:49:52----------------
--------------------2019-09-15 10:54:52----------------
--------------------2019-09-15 10:59:52----------------
--------------------2019-09-15 11:04:52----------------
--------------------2019-09-15 11:09:53----------------
--------------------2019-09-15 11:14:53----------------
--------------------2019-09-15 11:19:53----------------
--------------------2019-09-15 11:24:53----------------
--------------------2019-09-15 11:29:53----------------
--------------------2019-09-15 11:34:53----------------
--------------------2019-09-15 11:39:53----------------
--------------------2019-09-15 11:44:53----------------
--------------------2019-09-15 11:49:53----------------
--------------------2019-09-15 11:54:53----------------
--------------------2019-09-15 11:59:53----------------
--------------------2019-09-15 12:04:53----------------
--------------------2019-09-15 12:09:53----------------
--------------------2019-09-15 12:14:53----------------
--------------------2019-09-15 12:19:53----------------
--------------------2019-09-15 12:24:53----------------
--------------------2019-09-15 12:29:54----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
1006 : 1
3013 : 2
--------------------2019-09-15 12:34:54----------------
1011 : 6
205 : 2
3010 : 3
1010 : 4
4633 : 1
1006 : 13
3030 : 1
4629 : 16
1000 : 2
3017 : 28
3013 : 215
3011 : 28
1001 : 76
--------------------2019-09-15 12:39:54----------------
205 : 4
3010 : 6
1006 : 8
3030 : 2
4629 : 5
3017 : 34
3013 : 339
3011 : 14
--------------------2019-09-15 12:44:54----------------
4004 : 1
4012 : 1
1011 : 4
3015 : 1
4017 : 2
1018 : 2
81 : 2
205 : 3
3018 : 12
3010 : 2
1010 : 5
4633 : 4
1003 : 11
1006 : 8
1000 : 4
1009 : 1
3017 : 11
3013 : 45
3011 : 33
3014 : 172
--------------------2019-09-15 12:49:54----------------
205 : 4
3018 : 40
3017 : 1
3013 : 62
3011 : 44
3014 : 238
--------------------2019-09-15 12:54:54----------------
4004 : 2
4039 : 1
4012 : 1
1011 : 21
4017 : 1
1018 : 1
81 : 1
205 : 2
3018 : 11
3010 : 1
1010 : 49
4633 : 1
1003 : 8
1006 : 6
1046 : 3
3017 : 15
3013 : 102
3011 : 24
3014 : 73
--------------------2019-09-15 12:59:54----------------
1011 : 5
1010 : 8
1046 : 3
1009 : 1
3013 : 15
--------------------2019-09-15 13:04:54----------------
4004 : 1
1011 : 3
4017 : 1
1018 : 1
81 : 1
1010 : 4
3013 : 27
--------------------2019-09-15 13:09:54----------------
205 : 2
3010 : 3
1006 : 25
3030 : 3
4629 : 1
1000 : 1
3017 : 86
3013 : 91
3011 : 24
1001 : 40
--------------------2019-09-15 13:14:54----------------
205 : 1
3010 : 10
1006 : 21
3030 : 1
3017 : 54
3013 : 8
3011 : 3
--------------------2019-09-15 13:19:54----------------
3017 : 13
--------------------2019-09-15 13:24:54----------------
81 : 1
3010 : 1
3017 : 11
3013 : 10
3011 : 1
1001 : 1
--------------------2019-09-15 13:29:54----------------
205 : 1
1006 : 1
3017 : 13
3013 : 10
3011 : 1
1001 : 2
--------------------2019-09-15 13:34:54----------------
4017 : 1
1018 : 1
81 : 1
205 : 1
3018 : 6
3010 : 1
4633 : 1
1006 : 4
3019 : 42
1009 : 1
3017 : 8
3013 : 28
3011 : 26
3014 : 2
--------------------2019-09-15 13:39:54----------------
1011 : 36
205 : 1
3010 : 2
1010 : 3
4633 : 1
3019 : 19
1000 : 2
3013 : 49
3011 : 54
1001 : 322
--------------------2019-09-15 13:44:54----------------
1011 : 7
205 : 2
3018 : 22
3010 : 2
1010 : 16
3019 : 88
3013 : 52
3011 : 54
--------------------2019-09-15 13:49:54----------------
205 : 4
3018 : 72
3019 : 213
3013 : 47
3011 : 6
1001 : 2
--------------------2019-09-15 13:54:54----------------
205 : 3
3018 : 75
1006 : 23
3019 : 146
3024 : 80
3017 : 17
3013 : 26
3011 : 2
--------------------2019-09-15 13:59:54----------------
205 : 2
3018 : 50
4633 : 1
1006 : 29
3019 : 129
3024 : 24
3017 : 1
3013 : 12
--------------------2019-09-15 14:04:55----------------
4633 : 1
3017 : 1
3013 : 13
--------------------2019-09-15 14:09:55----------------
--------------------2019-09-15 14:14:55----------------
--------------------2019-09-15 14:19:55----------------
--------------------2019-09-15 14:24:55----------------
--------------------2019-09-15 14:29:55----------------
--------------------2019-09-15 14:34:55----------------
--------------------2019-09-15 14:39:55----------------
--------------------2019-09-15 14:44:55----------------
--------------------2019-09-15 14:49:55----------------
4004 : 1
--------------------2019-09-15 14:54:55----------------
1011 : 22
4017 : 1
1018 : 1
81 : 1
205 : 2
3018 : 14
1010 : 20
4633 : 4
1003 : 1
1006 : 1
3019 : 42
1031 : 14
1000 : 4
3013 : 131
4634 : 2
3011 : 15
1032 : 3
--------------------2019-09-15 14:59:55----------------
1011 : 14
205 : 3
3018 : 18
3010 : 2
1010 : 9
4633 : 3
1006 : 2
3019 : 43
1014 : 13
3024 : 11
3017 : 6
3013 : 207
3011 : 17
--------------------2019-09-15 15:04:55----------------
1011 : 12
205 : 3
3018 : 36
3010 : 1
1010 : 9
4633 : 2
1006 : 25
3019 : 60
3024 : 48
3017 : 25
3013 : 140
3011 : 21
3014 : 2
--------------------2019-09-15 15:09:55----------------
1011 : 14
205 : 3
3018 : 29
3010 : 2
1010 : 12
4633 : 3
1006 : 27
3019 : 93
3013 : 125
3011 : 29
1001 : 5
--------------------2019-09-15 15:14:55----------------
1011 : 11
205 : 3
3018 : 35
3010 : 3
1010 : 7
4633 : 1
1006 : 27
3019 : 104
3013 : 161
3011 : 19
--------------------2019-09-15 15:19:55----------------
1011 : 20
205 : 3
3018 : 14
3010 : 1
1010 : 14
4633 : 1
1006 : 1
3019 : 43
3013 : 178
3011 : 19
--------------------2019-09-15 15:24:55----------------
1011 : 17
205 : 1
3018 : 5
3010 : 1
1010 : 21
4633 : 2
1003 : 4
1006 : 20
3019 : 13
1031 : 6
1000 : 3
4464 : 1
3013 : 113
1001 : 1
1032 : 4
