--------------------2019-07-23 0:02:12----------------
--------------------2019-07-23 0:07:12----------------
--------------------2019-07-23 0:12:12----------------
--------------------2019-07-23 0:17:12----------------
--------------------2019-07-23 0:22:12----------------
--------------------2019-07-23 0:27:12----------------
--------------------2019-07-23 0:32:12----------------
--------------------2019-07-23 0:37:12----------------
--------------------2019-07-23 0:42:12----------------
--------------------2019-07-23 0:47:12----------------
--------------------2019-07-23 0:52:12----------------
3013 : 63
205 : 4
3014 : 202
3011 : 28
3017 : 102
--------------------2019-07-23 3:57:15----------------
3013 : 78
205 : 4
3014 : 188
3011 : 47
3017 : 94
--------------------2019-07-23 4:02:15----------------
3013 : 70
205 : 4
3014 : 198
3011 : 26
3017 : 101
4464 : 1
--------------------2019-07-23 4:07:15----------------
3013 : 50
205 : 4
3014 : 203
3011 : 40
3017 : 101
--------------------2019-07-23 4:12:15----------------
3013 : 125
205 : 4
3014 : 174
3011 : 23
3017 : 89
--------------------2019-07-23 4:17:15----------------
3013 : 53
205 : 4
3014 : 206
3011 : 33
3017 : 102
--------------------2019-07-23 4:22:15----------------
3013 : 75
205 : 4
3014 : 190
3011 : 36
3017 : 96
--------------------2019-07-23 4:27:15----------------
3013 : 54
205 : 4
3014 : 194
3011 : 44
3017 : 100
--------------------2019-07-23 4:32:15----------------
3013 : 50
205 : 4
3014 : 188
3011 : 43
3017 : 91
4464 : 1
--------------------2019-07-23 4:37:15----------------
3013 : 74
205 : 4
3014 : 194
1006 : 2
3011 : 37
3017 : 95
--------------------2019-07-23 4:42:15----------------
3013 : 18
205 : 4
3014 : 213
1006 : 2
3011 : 22
3017 : 110
--------------------2019-07-23 4:47:16----------------
3013 : 56
205 : 4
3014 : 206
3011 : 27
3017 : 102
--------------------2019-07-23 4:52:16----------------
3013 : 73
205 : 4
3014 : 193
3011 : 37
3017 : 96
--------------------2019-07-23 4:57:16----------------
3013 : 67
205 : 3
3014 : 197
3011 : 33
3017 : 101
--------------------2019-07-23 5:02:16----------------
3013 : 43
205 : 4
3014 : 212
3011 : 31
3017 : 104
4464 : 1
--------------------2019-07-23 5:07:16----------------
3013 : 20
205 : 4
3014 : 224
3011 : 19
3017 : 111
--------------------2019-07-23 5:12:16----------------
3013 : 66
205 : 4
3014 : 192
3011 : 48
3017 : 96
--------------------2019-07-23 5:17:16----------------
3013 : 34
205 : 4
3014 : 212
3011 : 33
3017 : 107
--------------------2019-07-23 5:22:16----------------
3013 : 65
205 : 4
3014 : 199
3011 : 31
3017 : 102
--------------------2019-07-23 5:27:16----------------
3013 : 73
205 : 4
3014 : 198
3011 : 27
3017 : 97
--------------------2019-07-23 5:32:16----------------
3013 : 88
205 : 4
3014 : 187
3011 : 34
3017 : 92
4464 : 1
--------------------2019-07-23 5:37:16----------------
3013 : 21
205 : 4
3014 : 221
3011 : 31
3017 : 112
--------------------2019-07-23 5:42:16----------------
3013 : 62
205 : 3
3014 : 158
3011 : 34
3017 : 83
--------------------2019-07-23 5:47:16----------------
3013 : 50
205 : 4
3014 : 207
3011 : 32
3017 : 104
--------------------2019-07-23 5:52:16----------------
3013 : 31
205 : 4
3014 : 201
3011 : 44
3017 : 98
--------------------2019-07-23 5:57:16----------------
3013 : 99
205 : 4
3014 : 163
3011 : 36
3017 : 85
--------------------2019-07-23 6:02:16----------------
3013 : 51
205 : 4
3014 : 205
3011 : 39
3017 : 99
4464 : 1
--------------------2019-07-23 6:07:16----------------
3013 : 30
205 : 3
3014 : 215
3011 : 27
3017 : 108
--------------------2019-07-23 6:12:16----------------
3013 : 23
205 : 3
3014 : 106
1006 : 2
3011 : 28
3017 : 56
--------------------2019-07-23 6:17:16----------------
3013 : 56
205 : 3
3014 : 162
1006 : 1
3011 : 32
3017 : 86
--------------------2019-07-23 6:22:16----------------
3013 : 70
205 : 4
3014 : 195
3011 : 39
3017 : 98
--------------------2019-07-23 6:27:16----------------
3013 : 41
205 : 4
3014 : 206
3011 : 43
3017 : 104
--------------------2019-07-23 6:32:17----------------
3013 : 50
205 : 3
3014 : 166
3011 : 30
3017 : 89
4464 : 1
--------------------2019-07-23 6:37:17----------------
3013 : 39
205 : 4
3014 : 211
3011 : 23
3017 : 110
--------------------2019-07-23 6:42:17----------------
3013 : 33
205 : 4
3014 : 217
3011 : 26
3017 : 110
--------------------2019-07-23 6:47:17----------------
3013 : 32
205 : 4
3014 : 214
3011 : 29
3017 : 108
--------------------2019-07-23 6:52:17----------------
3013 : 27
205 : 4
3014 : 220
3011 : 31
3017 : 109
--------------------2019-07-23 6:57:17----------------
3013 : 29
205 : 3
3014 : 221
3011 : 19
3017 : 111
