--------------------2019-07-26 0:03:03----------------
--------------------2019-07-26 0:08:03----------------
--------------------2019-07-26 0:13:03----------------
--------------------2019-07-26 0:18:03----------------
--------------------2019-07-26 0:23:03----------------
--------------------2019-07-26 0:28:03----------------
--------------------2019-07-26 0:33:03----------------
--------------------2019-07-26 0:38:03----------------
--------------------2019-07-26 0:43:03----------------
3030 : 1
3017 : 46
1011 : 4
4633 : 1
4629 : 1
1105 : 1
--------------------2019-07-26 2:33:04----------------
3013 : 138
205 : 2
1010 : 8
3010 : 9
3011 : 18
3030 : 2
3017 : 31
1011 : 5
4633 : 1
4629 : 3
--------------------2019-07-26 2:38:05----------------
3013 : 115
205 : 2
3010 : 24
3011 : 33
1001 : 12
3017 : 48
4629 : 1
--------------------2019-07-26 2:43:05----------------
3013 : 82
205 : 2
3010 : 22
3011 : 20
1001 : 6
3017 : 48
4629 : 1
4464 : 1
--------------------2019-07-26 2:48:05----------------
3013 : 130
205 : 2
3010 : 15
3011 : 17
1001 : 12
3017 : 44
4629 : 1
--------------------2019-07-26 2:53:05----------------
3013 : 105
205 : 2
1006 : 1
3010 : 8
3011 : 18
1003 : 3
1000 : 5
1001 : 4
3017 : 52
--------------------2019-07-26 2:58:05----------------
3013 : 82
205 : 1
3010 : 14
3011 : 8
1009 : 1
1001 : 3
3017 : 25
4633 : 1
--------------------2019-07-26 3:03:05----------------
--------------------2019-07-26 3:08:05----------------
205 : 1
--------------------2019-07-26 3:13:05----------------
--------------------2019-07-26 3:18:05----------------
--------------------2019-07-26 3:23:05----------------
--------------------2019-07-26 3:28:05----------------
--------------------2019-07-26 3:33:05----------------
--------------------2019-07-26 3:38:05----------------
--------------------2019-07-26 3:43:05----------------
--------------------2019-07-26 3:48:05----------------
--------------------2019-07-26 3:53:06----------------
--------------------2019-07-26 3:58:06----------------
--------------------2019-07-26 4:03:06----------------
--------------------2019-07-26 4:08:06----------------
--------------------2019-07-26 4:13:06----------------
--------------------2019-07-26 4:18:06----------------
--------------------2019-07-26 4:23:06----------------
--------------------2019-07-26 4:28:06----------------
--------------------2019-07-26 4:33:06----------------
--------------------2019-07-26 4:38:06----------------
--------------------2019-07-26 4:43:06----------------
--------------------2019-07-26 4:48:06----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 55
205 : 1
1006 : 3
1010 : 10
3010 : 12
3011 : 10
3030 : 1
3017 : 39
1046 : 5
1048 : 3
1011 : 14
1050 : 1
1100 : 2
1104 : 1
1102 : 1
1115 : 4
--------------------2019-07-26 4:53:06----------------
3013 : 200
205 : 3
3010 : 19
3011 : 35
1001 : 3
3017 : 23
1105 : 1
--------------------2019-07-26 4:58:07----------------
3013 : 147
205 : 2
3010 : 17
3011 : 21
1001 : 3
3017 : 26
4629 : 2
--------------------2019-07-26 5:03:07----------------
3013 : 82
205 : 1
1006 : 2
3010 : 18
3011 : 42
1000 : 6
1001 : 39
3017 : 17
--------------------2019-07-26 5:08:07----------------
3013 : 85
205 : 2
1006 : 4
1010 : 4
3010 : 5
3011 : 28
1000 : 1
1001 : 2
3017 : 67
1011 : 3
4633 : 1
1100 : 1
1102 : 1
1101 : 1
--------------------2019-07-26 5:13:07----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 143
205 : 2
1006 : 14
1010 : 4
3010 : 6
3011 : 30
1003 : 6
1009 : 1
3030 : 2
1000 : 11
1001 : 8
3017 : 48
1011 : 5
1100 : 1
1102 : 1
1115 : 7
1106 : 3
1032 : 9
--------------------2019-07-26 5:18:07----------------
4004 : 4
4017 : 3
1018 : 3
81 : 3
3013 : 55
205 : 1
1010 : 6
3010 : 6
3011 : 29
1003 : 4
1009 : 2
1000 : 5
1001 : 18
3017 : 28
1011 : 11
1050 : 1
4633 : 2
1100 : 3
1102 : 3
4464 : 1
1031 : 10
4039 : 4
1106 : 1
1032 : 6
--------------------2019-07-26 5:23:07----------------
3013 : 151
205 : 2
1006 : 10
1010 : 9
3010 : 9
3011 : 26
1001 : 17
3017 : 31
1046 : 4
1048 : 7
1011 : 11
4633 : 2
4629 : 1
1002 : 2
1032 : 2
--------------------2019-07-26 5:28:07----------------
3013 : 60
205 : 2
1006 : 16
1010 : 14
3010 : 7
3011 : 9
3030 : 1
1001 : 2
3017 : 93
1048 : 16
1011 : 19
4633 : 1
1031 : 1
3016 : 1
--------------------2019-07-26 5:33:07----------------
3013 : 172
205 : 3
1006 : 1
1010 : 11
3010 : 12
3011 : 23
3030 : 3
1001 : 60
3017 : 95
1046 : 1
1048 : 1
1011 : 18
1050 : 1
4633 : 2
4629 : 4
1031 : 1
1032 : 1
1116 : 1
--------------------2019-07-26 5:38:07----------------
3013 : 150
205 : 3
1006 : 5
3010 : 16
3011 : 27
3030 : 3
1000 : 1
1001 : 20
3017 : 61
1100 : 1
1104 : 1
1102 : 1
4629 : 1
1105 : 1
--------------------2019-07-26 5:43:07----------------
4017 : 1
1018 : 1
81 : 1
3013 : 249
205 : 4
1006 : 11
1010 : 12
3010 : 24
3011 : 38
1009 : 1
3030 : 1
1001 : 5
3017 : 48
1011 : 7
1050 : 1
4633 : 2
4629 : 3
--------------------2019-07-26 5:48:07----------------
3013 : 280
205 : 3
1006 : 1
1010 : 20
3010 : 31
3011 : 54
3030 : 2
1001 : 8
3017 : 40
1011 : 16
4633 : 4
4629 : 4
4464 : 1
--------------------2019-07-26 5:53:07----------------
3013 : 324
205 : 5
1006 : 20
1010 : 20
3010 : 6
3011 : 31
3030 : 4
1000 : 6
1001 : 73
3017 : 35
1048 : 1
1011 : 17
4633 : 2
1100 : 1
1102 : 2
4629 : 12
1101 : 1
--------------------2019-07-26 5:58:07----------------
81 : 1
3013 : 286
205 : 3
1006 : 1
1010 : 5
3010 : 14
3011 : 25
3030 : 4
1001 : 6
3017 : 86
1011 : 9
4633 : 2
4629 : 3
1105 : 1
--------------------2019-07-26 6:03:07----------------
4004 : 1
3013 : 202
205 : 5
1006 : 3
1010 : 2
3010 : 12
3011 : 29
1009 : 1
3030 : 2
1001 : 29
3017 : 155
1115 : 2
545 : 1
4039 : 1
--------------------2019-07-26 6:08:07----------------
4017 : 1
1018 : 1
81 : 1
3013 : 93
205 : 2
1006 : 9
1010 : 2
3010 : 10
3011 : 15
1003 : 3
3030 : 26
1000 : 10
1001 : 21
3017 : 84
1011 : 3
1050 : 18
4633 : 1
1100 : 15
1104 : 5
1102 : 3
1004 : 2
1051 : 2
1115 : 1
1101 : 1
1109 : 1
1106 : 1
1103 : 1
--------------------2019-07-26 6:13:07----------------
3013 : 214
205 : 4
1006 : 7
3010 : 22
3011 : 23
3030 : 8
1001 : 14
3017 : 121
4629 : 1
4464 : 1
1115 : 2
--------------------2019-07-26 6:18:07----------------
3013 : 180
205 : 3
1006 : 7
3010 : 22
3011 : 45
3030 : 11
1001 : 43
3017 : 120
1115 : 1
1105 : 1
--------------------2019-07-26 6:23:07----------------
4017 : 1
1018 : 1
81 : 1
3013 : 220
205 : 3
1006 : 8
1010 : 12
3010 : 13
3011 : 20
1009 : 1
3030 : 5
1000 : 10
1001 : 26
3017 : 68
1011 : 13
1050 : 1
4633 : 3
1100 : 2
1104 : 12
1102 : 3
1051 : 1
1106 : 1
--------------------2019-07-26 6:28:07----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 153
205 : 3
1006 : 7
1010 : 9
3010 : 3
3011 : 14
1009 : 1
3030 : 5
1000 : 8
1001 : 21
3017 : 143
1011 : 12
1050 : 2
4633 : 2
1104 : 1
1051 : 2
1115 : 1
4039 : 1
--------------------2019-07-26 6:33:08----------------
3013 : 87
205 : 4
1006 : 1
3010 : 12
3011 : 28
3030 : 16
1001 : 5
3017 : 196
1050 : 1
1051 : 1
1105 : 1
--------------------2019-07-26 6:38:08----------------
4004 : 2
4017 : 3
1018 : 3
81 : 4
3013 : 98
205 : 4
1006 : 18
1010 : 9
3010 : 13
3011 : 20
1003 : 1
1009 : 3
3030 : 2
1000 : 14
1001 : 89
3017 : 93
1011 : 20
1050 : 2
4633 : 5
1100 : 1
1102 : 2
4629 : 7
1115 : 5
1105 : 1
1031 : 7
4031 : 2
4039 : 2
1106 : 2
1032 : 3
--------------------2019-07-26 6:43:08----------------
3013 : 408
205 : 5
1006 : 8
1010 : 15
3010 : 23
3011 : 46
3030 : 4
1000 : 1
1001 : 1
3017 : 94
1046 : 1
1048 : 1
1011 : 21
4633 : 2
1051 : 1
4629 : 8
1105 : 2
--------------------2019-07-26 6:48:08----------------
3013 : 141
205 : 3
1006 : 8
1010 : 5
3010 : 21
3011 : 29
1003 : 1
3030 : 8
1001 : 11
3017 : 115
1048 : 1
1011 : 10
1050 : 2
4633 : 1
1100 : 2
1102 : 1
1051 : 5
4629 : 5
1105 : 1
--------------------2019-07-26 6:53:08----------------
3013 : 141
205 : 3
1006 : 3
3010 : 7
3011 : 27
3030 : 4
1001 : 12
3017 : 131
1051 : 1
4629 : 4
--------------------2019-07-26 6:58:08----------------
3013 : 134
205 : 2
1006 : 9
1010 : 3
3010 : 6
3011 : 23
1003 : 1
1000 : 1
3017 : 12
1011 : 7
1050 : 1
4633 : 2
1100 : 2
1102 : 1
4629 : 4
1106 : 1
--------------------2019-07-26 7:03:08----------------
--------------------2019-07-26 7:08:08----------------
4004 : 1
4017 : 1
1018 : 1
81 : 2
3013 : 5
1006 : 8
1010 : 4
3017 : 3
1011 : 7
1115 : 2
1031 : 26
--------------------2019-07-26 7:13:08----------------
81 : 1
3013 : 102
205 : 1
3014 : 30
1006 : 7
1010 : 15
3010 : 1
3011 : 13
1003 : 19
1001 : 2
3017 : 21
1011 : 27
1050 : 1
4633 : 2
4629 : 9
1115 : 1
--------------------2019-07-26 7:18:08----------------
4017 : 1
1018 : 1
81 : 2
3013 : 31
205 : 1
3014 : 46
1010 : 26
3010 : 1
3011 : 5
1003 : 36
1000 : 5
3017 : 31
1011 : 35
4633 : 2
1115 : 1
1031 : 4
4031 : 2
4041 : 1
1032 : 19
--------------------2019-07-26 7:23:08----------------
81 : 1
3013 : 67
205 : 1
1006 : 1
1010 : 6
3010 : 1
3011 : 5
1003 : 8
1001 : 2
3017 : 66
1046 : 2
1048 : 1
1011 : 15
1050 : 1
4633 : 2
1031 : 11
--------------------2019-07-26 7:28:08----------------
81 : 1
3013 : 41
205 : 1
3014 : 5
3011 : 3
1003 : 13
1001 : 3
3017 : 88
1050 : 1
1100 : 1
1104 : 30
1102 : 2
1051 : 1
1106 : 1
--------------------2019-07-26 7:33:08----------------
81 : 1
3013 : 6
205 : 3
3014 : 187
1006 : 2
3010 : 1
1003 : 22
1000 : 1
3017 : 97
1046 : 3
1048 : 1
1105 : 3
--------------------2019-07-26 7:38:08----------------
3013 : 60
205 : 3
3014 : 118
1006 : 6
1010 : 5
3010 : 2
3011 : 7
1003 : 12
1000 : 1
1001 : 2
3017 : 74
1011 : 9
4633 : 2
4629 : 8
1115 : 1
--------------------2019-07-26 7:43:09----------------
3013 : 61
205 : 2
3014 : 78
1010 : 22
3010 : 4
3011 : 7
1003 : 73
3017 : 69
1011 : 43
1115 : 3
--------------------2019-07-26 7:48:09----------------
3013 : 63
205 : 3
3014 : 91
1010 : 23
3010 : 3
3011 : 6
1003 : 84
1000 : 2
1001 : 5
3017 : 70
1011 : 47
4464 : 1
1115 : 2
--------------------2019-07-26 7:53:09----------------
81 : 1
3013 : 45
205 : 2
3014 : 82
1006 : 2
1010 : 28
3010 : 2
3011 : 7
1003 : 65
1000 : 1
3017 : 71
1011 : 51
1115 : 2
--------------------2019-07-26 7:58:09----------------
3013 : 36
205 : 2
3014 : 84
1010 : 30
3011 : 7
1003 : 95
1001 : 1
3017 : 72
1011 : 55
4629 : 1
1115 : 2
--------------------2019-07-26 8:03:09----------------
3013 : 47
205 : 2
3014 : 83
1010 : 29
3010 : 3
3011 : 13
1003 : 78
3017 : 62
1011 : 53
1115 : 3
--------------------2019-07-26 8:08:09----------------
3013 : 59
205 : 1
3014 : 7
1010 : 22
3010 : 3
3011 : 6
1003 : 12
3017 : 24
1011 : 42
1115 : 1
--------------------2019-07-26 8:13:09----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 140
205 : 2
3014 : 33
1010 : 13
3011 : 21
1003 : 31
1001 : 1
3017 : 33
1011 : 26
4633 : 1
1115 : 1
--------------------2019-07-26 8:18:09----------------
3013 : 107
205 : 2
3014 : 65
1010 : 29
3011 : 21
1003 : 59
1001 : 3
3017 : 46
1011 : 50
4464 : 1
--------------------2019-07-26 8:23:09----------------
3013 : 282
205 : 4
3014 : 31
1010 : 12
3011 : 36
1003 : 18
3017 : 22
1011 : 21
--------------------2019-07-26 8:28:09----------------
3013 : 184
205 : 3
3014 : 54
1010 : 23
3011 : 14
1003 : 54
3017 : 41
1011 : 42
--------------------2019/7/26 8:33:09----------------
3013 : 48
205 : 1
3014 : 38
1010 : 13
3010 : 1
3011 : 9
1003 : 44
3017 : 33
1011 : 22
1115 : 1
--------------------2019/7/26 8:38:09----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 30
1006 : 2
1010 : 4
3011 : 3
1009 : 1
1011 : 2
--------------------2019/7/26 8:43:09----------------
4004 : 2
4017 : 2
1018 : 2
81 : 3
3013 : 95
205 : 2
1006 : 10
1010 : 8
3010 : 3
3011 : 23
1003 : 2
3030 : 2
3017 : 59
1011 : 14
1050 : 2
4633 : 3
4629 : 1
1115 : 5
1105 : 5
1108 : 2
--------------------2019/7/26 8:48:09----------------
3013 : 9
205 : 1
1006 : 3
1010 : 1
3017 : 97
1011 : 2
4633 : 1
--------------------2019/7/26 8:53:09----------------
205 : 1
3017 : 149
--------------------2019/7/26 8:58:09----------------
205 : 2
3017 : 149
--------------------2019/7/26 9:03:09----------------
3013 : 22
205 : 1
1010 : 1
3011 : 4
1003 : 1
3017 : 116
1011 : 1
1014 : 4
1015 : 1
--------------------2019/7/26 9:08:09----------------
205 : 1
3017 : 74
--------------------2019/7/26 9:13:10----------------
1003 : 1
3017 : 75
4464 : 1
--------------------2019/7/26 9:18:10----------------
3013 : 23
205 : 1
1010 : 1
3011 : 1
3017 : 71
1011 : 1
1014 : 4
1015 : 1
--------------------2019/7/26 9:23:10----------------
205 : 1
1003 : 1
3017 : 74
--------------------2019/7/26 9:28:10----------------
205 : 1
3017 : 74
--------------------2019/7/26 9:33:10----------------
205 : 1
1003 : 1
3017 : 75
--------------------2019/7/26 9:38:10----------------
3017 : 74
--------------------2019/7/26 9:43:10----------------
205 : 1
3017 : 75
1046 : 1
4464 : 1
--------------------2019/7/26 9:48:10----------------
205 : 1
1003 : 1
3017 : 75
--------------------2019/7/26 9:53:10----------------
3013 : 46
205 : 1
1006 : 6
1010 : 1
3010 : 1
3011 : 11
1003 : 4
3017 : 63
1011 : 2
4633 : 1
82 : 2
3202 : 2
4629 : 7
1105 : 1
--------------------2019/7/26 9:58:10----------------
81 : 4
3013 : 48
205 : 2
3014 : 79
1006 : 4
1010 : 6
3010 : 11
3011 : 25
1003 : 7
1000 : 10
1001 : 53
3017 : 31
1011 : 12
4633 : 1
1100 : 1
1104 : 1
1102 : 1
1106 : 1
--------------------2019/7/26 10:03:10----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 104
205 : 4
3014 : 95
1006 : 14
1010 : 6
3010 : 20
3011 : 51
1003 : 14
3030 : 2
1000 : 1
1001 : 8
3017 : 62
1011 : 11
1050 : 1
82 : 1
3202 : 1
1105 : 3
1108 : 1
--------------------2019/7/26 10:08:10----------------
4017 : 2
1018 : 2
81 : 3
3013 : 319
205 : 5
3014 : 23
1006 : 20
1010 : 5
3010 : 9
3011 : 42
1003 : 6
1009 : 1
3030 : 1
1000 : 6
1001 : 35
3017 : 95
1046 : 1
1048 : 1
1011 : 7
1050 : 2
4633 : 2
1100 : 5
4629 : 1
1105 : 4
1014 : 7
1108 : 3
4031 : 1
4041 : 1
--------------------2019/7/26 10:13:10----------------
3013 : 418
205 : 6
1006 : 2
1010 : 2
3010 : 27
3011 : 82
1003 : 8
1001 : 8
3017 : 108
1011 : 2
1100 : 2
1104 : 1
1102 : 2
4629 : 6
1105 : 1
1106 : 2
--------------------2019/7/26 10:18:10----------------
81 : 1
3013 : 122
205 : 5
3014 : 148
1006 : 6
3010 : 16
3011 : 22
1003 : 19
3030 : 1
1000 : 1
1001 : 23
3017 : 177
1105 : 3
--------------------2019/7/26 10:23:10----------------
4017 : 1
1018 : 1
81 : 4
3013 : 185
205 : 4
3014 : 115
1006 : 2
1010 : 5
3010 : 11
3011 : 40
1003 : 134
1009 : 1
1000 : 1
3017 : 125
1011 : 11
1050 : 1
4633 : 1
--------------------2019/7/26 10:28:11----------------
81 : 6
3013 : 120
205 : 4
3014 : 74
1006 : 42
1010 : 8
3010 : 10
3011 : 45
1003 : 84
1000 : 7
1001 : 9
3017 : 107
1046 : 1
1048 : 1
1011 : 9
4633 : 3
1100 : 1
1102 : 1
1105 : 3
1031 : 9
1108 : 2
1106 : 2
1032 : 8
--------------------2019/7/26 10:33:11----------------
81 : 1
3013 : 297
205 : 4
1006 : 6
1010 : 6
3011 : 14
3030 : 5
3017 : 30
1011 : 13
4629 : 3
1105 : 1
1108 : 1
--------------------2019/7/26 10:38:11----------------
3013 : 93
205 : 2
1006 : 2
3010 : 4
3011 : 19
1001 : 9
3017 : 106
1105 : 2
1108 : 4
--------------------2019/7/26 10:43:11----------------
3013 : 72
205 : 2
1006 : 6
3010 : 4
3011 : 34
3030 : 1
1001 : 12
3017 : 106
1105 : 2
1108 : 5
--------------------2019/7/26 10:48:11----------------
--------------------2019/7/26 10:53:11----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 14
205 : 1
1010 : 2
3010 : 8
3011 : 3
3017 : 26
1011 : 1
1050 : 1
--------------------2019/7/26 10:58:11----------------
3013 : 67
205 : 1
1006 : 4
1010 : 7
3010 : 4
3011 : 3
3030 : 6
1001 : 3
3017 : 36
1046 : 3
1048 : 1
1011 : 2
1050 : 6
1051 : 1
--------------------2019/7/26 11:03:11----------------
3013 : 46
1006 : 3
1010 : 2
3011 : 2
3030 : 4
3017 : 4
1048 : 1
1011 : 2
4629 : 2
--------------------2019/7/26 11:08:11----------------
4004 : 1
4012 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 58
205 : 2
1006 : 11
1010 : 10
3011 : 3
1003 : 4
3030 : 2
1000 : 24
1001 : 6
3017 : 2
1046 : 5
1048 : 6
1011 : 46
1110 : 1
1050 : 1
1100 : 2
1104 : 1
1102 : 1
1051 : 1
--------------------2019/7/26 11:13:11----------------
81 : 3
3013 : 100
3014 : 17
1006 : 6
1010 : 13
3011 : 9
1003 : 1
1000 : 17
1001 : 29
1046 : 1
1048 : 8
1011 : 11
1100 : 1
1102 : 1
3016 : 1
--------------------2019/7/26 11:18:11----------------
3013 : 151
205 : 4
3014 : 200
1006 : 3
1010 : 23
3010 : 1
3011 : 30
1003 : 1
1000 : 1
3017 : 9
1048 : 1
1011 : 37
1050 : 3
4633 : 1
82 : 1
3202 : 1
1051 : 2
--------------------2019/7/26 11:23:11----------------
81 : 1
3013 : 78
205 : 3
3014 : 161
1006 : 23
1010 : 11
3010 : 1
3011 : 22
3030 : 3
1000 : 24
3017 : 1
1011 : 21
4633 : 1
4629 : 20
1115 : 6
--------------------2019/7/26 11:28:11----------------
3013 : 74
205 : 4
3014 : 251
1006 : 3
1010 : 11
3011 : 15
3030 : 6
1001 : 2
3017 : 10
1011 : 4
1050 : 1
--------------------2019/7/26 11:33:11----------------
3013 : 65
205 : 2
3014 : 179
1010 : 5
3011 : 6
1003 : 1
1011 : 6
4633 : 2
--------------------2019/7/26 11:38:11----------------
3013 : 24
1010 : 3
3011 : 2
1011 : 11
--------------------2019/7/26 11:43:11----------------
--------------------2019/7/26 11:48:11----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 2
205 : 1
3014 : 52
1006 : 1
1010 : 2
3010 : 3
3011 : 2
1046 : 6
1011 : 4
1050 : 1
--------------------2019/7/26 11:53:11----------------
81 : 1
3013 : 8
205 : 2
